,SOLI,SAP_CUS,TASK_PRIOR,Latitude
529,017165497010,0000000306,788,
530,017171956010,0000000306,698,
531,017172941010,0000000306,778,
532,015552297040,0000000366,735,
533,015552603040,0000000366,735,
534,017159895010,0000000306,748,
535,017165638010,0000000306,788,
536,017171986010,0000000306,708,
537,017165510010,0000000306,788,
538,017171922010,0000000306,788,
539,015552608040,0000000366,735,
540,017159795010,0000000306,738,
541,017158564010,0000000306,748,
542,017159790010,0000000306,748,
543,015552382020,0000000366,735,
544,015552621040,0000000366,735,
545,015552388010,0000000366,735,
546,015552619030,0000000366,735,
547,017165488010,0000000306,778,
548,017156247010,0000000306,698,
549,017171831010,0000000306,718,
550,017165508010,0000000306,788,
551,015552262010,0000000366,735,
552,017173085010,0000000306,708,
553,017165570010,0000000306,738,
554,015552293020,0000000366,735,
555,017171885010,0000000306,778,
556,017171890010,0000000306,788,
557,017171903010,0000000306,788,
558,017171904010,0000000306,778,
559,017165571010,0000000306,738,
560,015552287050,0000000366,735,
561,017171921010,0000000306,788,
562,017171924010,0000000306,788,
563,017171976010,0000000306,718,
564,017171934010,0000000306,788,
565,017171935010,0000000306,788,
566,017171947010,0000000306,698,
567,015649924040,0000000366,735,
568,017159798010,0000000306,758,
569,017165569010,0000000306,748,
570,017173094010,0000000306,768,
571,017191534010,0000000306,718,
572,017066572010,0000000306,758,
573,017173125010,0000000306,738,
574,017156229010,0000000306,718,
575,017156202010,0000000306,788,
576,017173118010,0000000306,788,
577,017171879010,0000000306,788,
578,017171880010,0000000306,788,
579,017165636010,0000000306,698,
580,015289486120,0000100069,754,
581,015289486130,0000100069,754,
582,017173120010,0000000306,788,
583,017156194010,0000000306,788,
584,017163268010,0000000306,718,
585,017173078010,0000000306,708,
586,017148523010,0000000306,718,
587,017173116010,0000000306,718,
588,017173136010,0000000306,698,
589,017152475010,0000000306,718,
590,017165639010,0000000306,788,
591,017216606010,0000000306,768,
592,017165509010,0000000306,788,
593,017165514010,0000000306,778,
594,017171820010,0000000306,718,
595,017172937010,0000000306,788,
596,017224160010,0000000306,778,
597,017191632010,0000000306,778,
598,015552582020,0000000366,735,
599,017171842010,0000000306,718,
600,017173141010,0000000306,718,
601,017173053010,0000000306,718,
602,017156114010,0000000306,788,
603,017156596010,0000000361,739,
604,017148533010,0000000306,738,
605,017171930010,0000000306,788,
606,017159114010,0000000306,718,
607,017158561010,0000000306,778,
608,017156259010,0000000306,778,
609,017159844010,0000000306,738,
610,017165602010,0000000306,788,
611,017148481010,0000000306,708,
612,017216613010,0000000306,768,
613,017165648010,0000000306,778,
614,015552507010,0000000366,735,
615,017156203010,0000000306,778,
616,017171948010,0000000306,698,
617,017156239010,0000000306,758,
618,017156248010,0000000306,788,
619,017171891010,0000000306,778,
620,017171907010,0000000306,778,
621,017171928010,0000000306,788,
622,017171932010,0000000306,788,
623,017156240010,0000000306,768,
624,017156254010,0000000306,788,
625,017156153010,0000000306,778,
626,017171964010,0000000306,788,
627,017156255010,0000000306,768,
628,017173063010,0000000306,718,
629,017171967010,0000000306,788,
630,017171979010,0000000306,788,
631,017171905010,0000000306,778,
632,017159840010,0000000306,738,
633,017165498010,0000000306,788,
634,017152485010,0000000306,708,
635,017173034010,0000000306,698,
636,017159094010,0000000306,718,
637,017173050010,0000000306,698,
638,017173048010,0000000306,788,
639,017159801010,0000000306,738,
640,017165654010,0000000306,778,
641,017173091010,0000000306,788,
642,017172950010,0000000306,778,
643,017158534010,0000000306,778,
644,017173121010,0000000306,718,
645,017148461010,0000000306,718,
646,017159108010,0000000306,708,
647,017173077010,0000000306,708,
648,017191522010,0000000306,788,
649,017152599010,0000000306,708,
650,017171962010,0000000306,778,
651,015682803010,0000000361,739,
652,015649928010,0000000366,735,
653,017156609010,0000000361,739,
654,017152447010,0000000306,708,
655,015603907180,0000060603,764,
656,017171923010,0000000306,788,
